,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_of_reviewers,recipe_num_saved,recipe_link
0,1,Spaghetti Squash Pad Thai,SunnyDaysNora,4.707207207207207,222,,https://www.allrecipes.com/recipe/238876/spaghetti-squash-pad-thai/
0,2,Dad's Pad Thai,Jenny,3.8819444444444446,144,,https://www.allrecipes.com/recipe/68129/dads-pad-thai/
0,3,Chicken Pad Thai with Peanut Sauce,Evil Waffles,5.0,3,,https://www.allrecipes.com/recipe/272276/chicken-pad-thai-with-peanut-sauce/
0,4,Pad Thai,April,3.9594240837696337,764,,https://www.allrecipes.com/recipe/42968/pad-thai/
0,5,Sukhothai Pad Thai,Christine L,4.327751196172249,418,,https://www.allrecipes.com/recipe/19306/sukhothai-pad-thai/
0,6,A Pad Thai Worth Making,Fatty Arbuckle,3.980392156862745,204,,https://www.allrecipes.com/recipe/109334/a-pad-thai-worth-making/
0,7,Authentic Pad Thai,Allrecipes,4.304054054054054,296,,https://www.allrecipes.com/recipe/222350/authentic-pad-thai/
0,8,Authentic Pad Thai Noodles,Julia,4.246753246753247,77,,https://www.allrecipes.com/recipe/220134/authentic-pad-thai-noodles/
0,9,Classic Pad Thai,Heinz,3.7096774193548385,31,,https://www.allrecipes.com/recipe/217811/classic-pad-thai/
0,10,Toronto Pad Thai,FULLYRECLINED,4.315789473684211,19,,https://www.allrecipes.com/recipe/87313/toronto-pad-thai/
0,11,Classic Chicken Pad Thai,ChefJackie,5.0,3,,https://www.allrecipes.com/recipe/280886/classic-chicken-pad-thai/
0,12,Easy Pad Thai with Shrimp and Hillshire FarmÂ® Smoked Sausage,Hillshire FarmR Brand,4.571428571428571,7,,https://www.allrecipes.com/recipe/276824/easy-pad-thai-with-shrimp-and-hillshire-farm-smoked-sausage/
0,13,Zucchini Noodles Pad Thai,Andrea Nicole,4.607142857142857,28,,https://www.allrecipes.com/recipe/246110/zucchini-noodles-pad-thai/
0,14,Nicola's Pad Thai,Nicole,4.214285714285714,28,,https://www.allrecipes.com/recipe/220131/nicolas-pad-thai/
0,15,Okinawan-Style Pad Thai,David Peters,4.590909090909091,22,,https://www.allrecipes.com/recipe/220424/okinawan-style-pad-thai/
0,16,Spicy Shrimp Pad Thai,n0xzemagrl,4.633333333333334,30,,https://www.allrecipes.com/recipe/263384/spicy-shrimp-pad-thai/
0,17,Pad Thai with Tofu,Van Dana,4.2,5,,https://www.allrecipes.com/recipe/246141/pad-thai-with-tofu/
0,18,Pad Thai Noodles,Bud W,4.5,2,,https://www.allrecipes.com/recipe/246140/pad-thai-noodles/
0,19,Carrie's Pad Thai Salad,Carrie Medina,4.785714285714286,14,,https://www.allrecipes.com/recipe/246138/carries-pad-thai-salad/
0,20,Shirataki Meatless Meat Pad Thai,Andrew05,4.8,5,,https://www.allrecipes.com/recipe/244716/shirataki-meatless-meat-pad-thai/
0,21,Joe's Fusion Chicken Pad Thai,Buon Appetito,4.423728813559322,59,,https://www.allrecipes.com/recipe/220124/joes-fusion-chicken-pad-thai/
0,22,Soy-Free Chicken Pad Thai,ToriGeib,5.0,1,,https://www.allrecipes.com/recipe/264652/soy-free-chicken-pad-thai/
0,23,Pad Thai Quinoa Bowl,Lisa,4.5875,80,,https://www.allrecipes.com/recipe/245372/pad-thai-quinoa-bowl/
0,24,Raw Pad Thai,Raw_Angel,4.592592592592593,54,,https://www.allrecipes.com/recipe/220406/raw-pad-thai/
0,25,Simple Shrimp Pad Thai,PinkPetunias,5.0,1,,https://www.allrecipes.com/recipe/263385/simple-shrimp-pad-thai/
